id,direccion
331,TENIENTE GENERAL JUAN D PERON 2598
332,AV RIVADAVIA 6854
332,AV SAN PEDRITO 28
332,SALVADOR MARIA DEL CARRIL 2901
335,AV ASAMBLEA 891
337,AV LA PLATA 365
338,AV COBO 1189
338,LARREA 906
338,VALENTIN GOMEZ 3444
340,AV BOEDO 500
340,URQUIZA 1949
343,ALVAREZ JONTE 2336
344,AV LA PLATA 1402
345,AV JOSE MARIA MORENO 245
347,RAMOS MEJIA 1690
352,AV CRAMER 2101
355,LA RIOJA 934
356,VIAMONTE 2661
357,AV CALLAO 299
358,AV JURAMENTO 2002
361,AV CASEROS 1000
361,AV GAONA 2308
362,AV EMILIO CASTRO 7000
363,ANCHORENA 639
363,BONPLAND 1507
363,RAMALLO 2568
364,CAMPANA 2323
370,AV BELGRANO 2530
370,AV RAUL SCALABRINI ORTIZ 2282
374,AV OLLEROS 1802
375,ADOLFO ALSINA 2500
375,AV SEGUROLA 1898
377,AV DE MAYO 964
377,AV RAUL SCALABRINI ORTIZ 1383
386,AV EVA PERON 5338
387,AV CORRIENTES 1145
387,AV DE LOS CORRALES 7228
387,AV RIVADAVIA 5375
388,BARTOLOME MITRE 2815
389,MARCELO T. DE ALVEAR 2381
393,AV RIVADAVIA 3600
396,AV GRAL. MOSCONI 2674
396,AV JOSE MARIA MORENO 300
396,LA PAMPA 2978
400,AV RAUL SCALABRINI ORTIZ 328
400,AV RIVADAVIA 2398
401,AV BEIRO FRANCISCO 4000
401,AV CORRIENTES 4371
401,SOMELLERA 5725
402,AV DIRECTORIO 1302
409,AV BELGRANO 1200
411,CERVIÑO 3365
411,VIEDMA FRANCISCO DE
414,BARTOLOME MITRE 1601
416,ACOYTE 268
419,SANABRIA 3354
420,ARENALES 2045
420,JUANA MANSO 475
420,MANUELA PEDRAZA 1799
421,AV CASEROS 2915
421,AV CORDOBA 4102
424,AV LUIS MARIA CAMPOS 726
424,AV PAVON 4183
424,HIDALGO 945
427,AV PUEYRREDON 1184
428,AV GRAL PAZ 10720
429,AV ALBERDI 5831
429,AV RIVADAVIA 5802
430,AV TRIUNVIRATO 4602
431,AV CASEROS 3372
431,AV LOPE DE VEGA 2667
431,SUCRE 2092
434,PARAGUAY 4502
436,BOGOTA 2396
438,PARAGUAY 3260
439,GRAL. URQUIZA 654
440,AV INDEPENDENCIA 1834
441,AV LA PLATA 1702
444,AV RIVADAVIA 5014
444,J B ALBERDI 4351
444,TUCUMAN 1601
445,AV DEL LIBERTADOR 6664
445,PERU 75
446,AV CABILDO 2928
446,AV GAONA 1101
448,CUZCO 125
451,AV GRAL PAZ 10632
452,NEUQUEN 601
452,TENIENTE GENERAL JUAN D PERON 4185
453,AZCUÉNAGA 1235
455,ESMERALDA 1279
456,AV RIVADAVIA 4301
458,AV CORRIENTES 4194
458,AV TRIUNVIRATO 4636
460,AV JUAN B. ALBERDI 5889
460,AV RIVADAVIA 6064
461,MAIPU 745
463,IBERA 3300
463,LISANDRO DE LA TORRE 1079
465,COMBATIENTES DE MALVINAS 3105
465,PEHUAJO 901
474,AV PUEYRREDON 1673
474,JULIAN ALVAREZ 601
477,AV CORRIENTES 1236
481,AV ALVAREZ THOMAS 1175
482,AV DIRECTORIO 2
483,AV PUEYRREDON 1598
483,URIARTE 2436
488,URUGUAY 1090
489,F.F. DE LA CRUZ AV 6290
490,MATHEU 1702
491,LLAVALLOL 5066
492,AV DIAZ VELEZ 4509
503,AV CABILDO 4633
504,TALCAHUANO 1036
505,NECOCHEA 799
507,AV RIESTRA 5758
508,LAGUNA 1384
509,AV BOYACA 508
509,AV JUAN B. JUSTO 2787
513,SARMIENTO 2214
514,PARAGUAY 5301
515,AV CASEROS 2102
519,AV SANTA FE 4900
520,J B ALBERDI 465
523,JURAMENTO 1799
524,ALSINA 699
524,AV SAN JUAN 2376
528,HABANA 3806
530,AV TRIUNVIRATO 3749
531,MEDRANO 1168
532,DR. FLORENTINO AMEGHINO 1701
532,LAVALLE 1722
534,CHARCAS 4299
537,AV BOEDO 950
538,AV CABILDO 2917
540,AV SAN MARTIN 2724
541,CHILAVERT 6364
541,RECONQUISTA 458
