Z,Nº,Centro de Salud,Calle,Altura,Localidad,Horarios,Telefono
2,88,VILLA LA MERCED,Ruta 19 alt. Ingreso Malvinas Argentinas,19,Cordoba,7-18 hs,156100370
4,89,VILLA RIVADAVIA,Cno. San Antonio Km 8 1/2,2,Cordoba,7-15 hs,4333228
3,90,ITUZAINGO ANEXO,Av. J Frank,5571,Cordoba,7-19 hs,4348527
2,91,VILLA BUSTOS,Pje. Ancasti esq. Benjamin Viel,NA,Cordoba,7-19 hs,4338528
6,92,LOS CORTADEROS,Boulevar de los Polacos y Canal Norte,NA,Cordoba,7-14.12 hs,03543-449026
5,93,VILLA LA TELA,Aviador Almonacid,5071,Cordoba,7-14 hs,4343188
1,94,PQUE LICEO IIIsec,Juan  Luis Orrego,4735,Cordoba,8-15 hs,4331924
3,95,CNO 60 CUADRAS,Cmo 60 cuadas  Km 3 1/2,2,Cordoba,7-14 hs,4348520
3,96,JOSE I. DIAZ I sec.,Morales de Albornoz,4500,Cordoba,7-14 hs,4356714
4,97,CABILDO,Av. Colorado esq. Gaiman,NA,Cordoba,"7,30 a 14,30hs",4343230
2,98,MERCADO DE ABASTO,Mercado de Abasto,NA,Cordoba,lunes 07-14hs mar-vie 12-19,4969060
5,99,LOS ROBLES,Docentes Argentinos,5890,Cordoba,7-14 hs,0351-155494983
4,100,HEROES DE MALVINAS,América Central,NA,Cordoba,7-14 hs,0351-156100319
6,101,12 DE JUlIO,Manuel Lisandro Borda,6000,Cordoba,7-14.12 hs,0351-152094378
